time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450950000	11.4554	21.0529	4.94405	3.13722	0.553161	radar	1.24385	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2524	21.0438	4.85225	3.16604	0.554558	lidar	0.780862	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9871	21.0116	4.91305	3.20128	0.560803	radar	4.42883	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7894	20.9732	4.81266	3.23505	0.565644	lidar	0.800611	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5457	20.9628	4.75629	3.25643	0.55763	radar	4.7989	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2594	20.9856	4.86378	3.26842	0.545241	lidar	3.12407	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0239	20.9639	4.8474	3.29211	0.542394	radar	0.980755	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84319	20.9226	4.73139	3.32178	0.54516	lidar	1.57995	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.63153	20.8984	4.59615	3.34085	0.535971	radar	2.18656	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.44382	20.848	4.52389	3.37011	0.538347	lidar	0.593525	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.2338	20.8019	4.51353	3.39558	0.537755	radar	1.37916	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.92333	20.7686	4.68865	3.40883	0.526339	lidar	3.24903	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.71637	20.6903	4.65858	3.44043	0.530565	radar	4.14233	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.42257	20.6084	4.79947	3.46404	0.527248	lidar	3.16226	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.19741	20.5287	4.79977	3.49082	0.527662	radar	0.0266882	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94808	20.4479	4.84539	3.51362	0.524646	lidar	0.240862	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.73166	20.3644	4.87028	3.53975	0.526005	radar	3.2655	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.41118	20.298	5.03709	3.54676	0.510424	lidar	3.88893	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.18542	20.2007	4.98477	3.57036	0.507826	radar	0.424307	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91603	20.1134	5.0559	3.58518	0.499475	lidar	0.942291	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.70364	20.019	4.96965	3.60619	0.495418	radar	0.900266	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.45295	19.9249	5.01256	3.62171	0.488291	lidar	0.694381	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.25001	19.8292	4.94333	3.6421	0.485099	radar	3.19331	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.98188	19.732	5.02172	3.6526	0.474384	lidar	1.46698	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.7457	19.5916	5.10811	3.67845	0.476729	radar	1.32472	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.57132	19.4726	5.02294	3.70539	0.479745	lidar	1.40169	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.37177	19.3264	5.01126	3.73353	0.482902	radar	1.5112	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.16116	19.2236	4.98888	3.7473	0.47554	lidar	2.45504	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.99257	19.1083	4.83118	3.7684	0.472518	radar	4.82012	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.82441	18.9654	4.78817	3.79624	0.475993	lidar	0.289891	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
